w475959205,w475960231,w477684043,w526337678,w533804140,w541438316,w541914139,w574606561,w592870302,w633724575
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.3733,267.3726,151.06470000000002,137.6484,84.18299999999999,110.2839,197.8368,130.7499,123.97830000000002,185.4303
346.22670000000005,574.4053,330.4218,310.1913,209.6846,257.72610000000003,439.7664,292.4946,279.85220000000004,413.851
459.3538,730.332,439.8982,414.9436,294.0176,351.9454,568.822,394.2334,379.0118,537.9606
595.2796000000001,840.136,564.9144,525.0472,386.5772,455.2268,664.07,512.0328,494.4056000000001,634.5992
664.0398,852.5605,624.3797,571.6311000000001,427.8336000000001,501.4534,678.64,568.8688999999999,550.3653,653.9321
652.3677,768.2009999999999,606.9802999999999,546.0984,409.7374,481.7791,611.8120000000001,553.7710999999999,536.0347,594.0259
567.5255000000001,611.0359,520.576,457.2047,337.6906,402.8865,481.8372,473.416,457.696,471.4508
441.0267,423.7113000000001,394.55180000000007,331.50930000000005,230.2486,287.40610000000004,321.59440000000006,354.1046,340.6222,317.653
16.8561,16.6066,17.1539,17.556,18.3066,17.8963,17.4148,17.4503,17.5491,17.4779
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.8231,210.6494,123.0149,112.8504,72.4838,92.1973,158.17719999999997,107.6753,102.5621,148.8285
