w538115135,w539744154,w1086210743,w1086210744,w541965088,w541965085,w534572399,w534572395,w534565230,w535349143
3.135045117424327,2.9948010638408094,4.632128392490639,5.281286477281436,5.736963815395244,4.380420009192937,3.630328004913668,4.898187839469649,3.3834556206482365,1.2270691826437583
2.840162335830809,3.4903547885049826,4.922905845941404,5.020876356411286,4.89907945531384,3.5924223495807537,3.443077090013968,5.363795693612613,3.0969321291596152,1.0595164371656338
3.320106367435732,3.041319680237325,4.945192229224007,4.214738911924887,4.809489694288001,3.647676137223025,3.6491770598955786,5.229720582415447,3.490931534541666,1.1046413473574566
3.072650850197906,3.444805621637661,3.910780912891501,4.088145498021064,3.738395696111637,4.535056016747039,3.149566008813566,5.782381827171366,3.8791202193824152,1.0567916254469985
2.614066152954865,2.722641534765584,4.369030892964383,4.566889530457933,3.100666360377147,3.7371338174716873,3.025340138984447,5.053152782736737,3.408644454979393,1.1537630516471833
3.134519495544733,3.8700856998046897,4.365232746541998,4.62093529483656,4.389826872855555,3.632305382040335,3.646653338474692,4.842397912419989,3.291048465042574,1.323158386154834
2.8529273539201845,2.9449267182382344,4.9333282260597935,4.4700532432328,4.252360136315064,3.814900756227426,4.0563636488160935,4.997738068768608,3.540808541549743,1.3261673345394749
3.0188932955459533,3.161272818643208,3.815379596742256,5.061386034213851,4.725380769257379,3.849597521257628,3.267891051189129,5.470330233100159,3.8460700489636617,1.30602338260563
3.5325621825129936,3.3243793811243547,4.289915802452757,5.50274525210132,4.696010426168513,3.931377882696248,3.1204715945112427,6.041431465857646,2.9179305390299337,1.4849532173617823
3.3811438096695703,3.2157848040747705,4.985521459909076,5.181552154262692,3.714006341636556,3.312187674497433,3.743174559990937,4.587092444388513,3.4577991381640247,1.539271549329895
3.275953359983838,3.273798347206743,5.147527138024074,4.621921788493739,4.871183687136223,4.847430573582988,4.297463281238424,5.002708962447218,3.4310392292136536,1.5368202620316307
